species,geo_distance,env_distance,phylo_distance
Amazilia leucogaster,9496291.712931404,3.956172864459239,162.52082108722533
Amazilia luciae,9665362.201338043,3.0645655117610326,162.51981700677212
Amazilia rosenbergi,9554741.635651352,18.41308143525009,162.51972763424232
Amazilia rutila,9827406.568203647,3.079798685933045,162.54304904387172
Amazilia tobaci,9478160.262343077,3.106805209754558,162.52762610550437
Amazilia tzacatl,9593297.221672738,3.129382247741395,162.54024998361794
Amazilia versicolor,9493215.704511225,3.1150116802844443,162.52065416247885
Amazilia violiceps,9996201.573897777,3.838940231270018,162.51620342714335
Amazilia viridicauda,9662160.669518981,3.5126054095739487,162.51620342714335
Amazilia viridifrons,9879964.960713755,3.408748502325501,162.5395220921314
Amazilia viridigaster,9497989.2284559,4.10454329581541,162.5274224686094
Amazilia yucatanensis,9776600.58550726,3.463874924589674,162.5413778244133
Amazona aestiva,9536964.445093699,3.1055936247246367,160.2074496696784
Amazona agilis,9550638.509373933,3.741298537896786,160.21523240838923
Amazona albifrons,9720503.187345842,3.086958031379079,160.21497409230557
Amazona amazonica,9485536.002615701,3.170726842469916,160.21065737812324
Amazona arausiaca,9492450.638868531,7.296070052208865,160.20832158613072
Amazona auropalliata,9713401.077840311,3.436684866390503,160.20719823072406
Amazona autumnalis,9658609.561188962,3.1327530865134343,160.21000311883577
Amazona barbadensis,9487064.804167915,3.7844499719707745,160.20983286297874
Amazona brasiliensis,9540324.702124394,3.9606578004421262,160.21597443016483
Amazona collaria,9547489.095230943,3.735381420203438,160.21320260514963
Amazona dufresniana,9489322.115199748,3.955934610611187,160.20957567585737
Amazona farinosa,9491113.367815452,4.128498797680166,160.22094843859537
Amazona festiva,9490058.567411583,4.276841229205158,160.21158337564452
Amazona finschi,10022070.2704844,3.381743456586774,160.2100518821758
Amazona imperialis,9492441.586602151,7.452946376939469,160.21739780351353
Amazona kawalli,9493182.956749845,4.153671844174929,160.22094843859537
Amazona leucocephala,9593371.014713788,3.10826958764934,160.2131513007201
Amazona ochrocephala,9491197.582277942,4.129383136109019,160.20714657060196
Amazona oratrix,9757468.664963504,3.1586170107587948,160.20714657060196
Amazona pretrei,9601384.51405109,4.34932807328952,160.21122557937665
Amazona rhodocorytha,9498014.050257748,3.1579595899077746,160.20957567585737
Amazona tucumana,9691452.641007561,3.7201295028386787,160.21122557937665
Amazona ventralis,9498299.823894223,3.5897881103265545,160.2141190970884
Amazona versicolor,9489827.201462284,3.9346663195151597,160.20832158613072
Amazona vinacea,9492235.83918533,4.124591381886127,160.21158337564452
Amazona viridigenalis,10150136.18838193,4.984070900253715,160.2100518821758
Amazona vittata,9498181.933199806,5.856036745168288,160.2131513007201
Amazona xantholora,9699263.711156208,3.300665102778392,160.21666643362394
Amazonetta brasiliensis,9503108.220408803,3.0666821012382925,187.57184220114638
Amblycercus holosericeus,9666922.218954891,3.084863890557323,126.71534165466285
Amblyornis flavifrons,10531393.836900191,7.155287381710444,144.84184113696313
Amblyornis inornata,10531245.738008022,7.472785031030432,144.83860689423534
Amblyornis macgregoriae,10529583.357960248,8.444428512647665,144.83920480575884
Amblyornis subalaris,10571603.125147851,5.1911005085254756,144.84184113696313
Amblyospiza albifrons,8976712.55153421,3.3057954798428133,128.54365227657695
Amblyramphus holosericeus,9643318.430343974,3.0203887046635014,126.67521672669861
Ammodramus aurifrons,9507939.905473016,4.256926872493568,126.69662574057347
Ammodramus humeralis,9533469.635121288,3.0638688625358133,126.69662574057347
Ammodramus savannarum,9799748.158892624,3.9215099037711627,126.69692491732152
Ammomanes cinctura,9160448.994002024,5.367758042799955,130.51779071390942
Ammomanes deserti,9213637.117105044,5.34333401707873,130.51779071390942
Ammomanes phoenicura,9654311.122261439,4.173321216957659,130.51907395212098
Ammoperdix griseogularis,9359853.466249578,5.246442920165293,187.39493033226222
Ammoperdix heyi,9145972.25500463,4.9807294812000515,187.39493033226222
Ampeliceps coronatus,10153781.759494536,3.066392174751322,129.41013199065657
Ampelioides tschudii,9633601.407768685,3.12813708992928,145.08681884543213
Ampelion rubrocristatus,9619523.424159719,3.4315602383809183,145.04763344766306
Ampelion rufaxilla,9673980.658906931,3.2895509141400328,145.04763344766306
Amphilais seebohmi,9373794.478010044,3.2197418127289237,129.8124574290095
Amphispiza bilineata,10020689.34397094,4.45678046514049,126.68638747836287
Amytornis ballarae,10514082.033461848,4.399042498106434,138.5039260333983
Amytornis barbatus,10508808.980278006,4.9141965852805285,138.5150742911593
Amytornis dorotheae,10513854.165076075,4.376088243641618,138.50473475847434
Amytornis goyderi,10504727.277998185,5.054383630023605,138.50483146568666
Amytornis housei,10515109.56672757,3.5116701613577157,138.506512646719
Amytornis merrotsyi,10507918.400295874,4.452912155739129,138.5090021025152
Amytornis purnelli,10496792.066016477,4.691332595613564,138.5039260333983
Amytornis striatus,10498168.374636546,5.083751985735485,138.50550481676368
Amytornis textilis,10501724.691436727,4.5609249447895035,138.50883217816875
Amytornis woodwardi,10509831.658108123,3.62009632927321,138.50473475847434
Anabacerthia amaurotis,9557695.312154353,4.100649715478451,145.78644085348213
Anabacerthia striaticollis,9515594.105993021,3.027406456377306,145.7868219944154
Anabacerthia variegaticeps,9676701.117416324,3.0270468072424017,145.78644085348213
Anabazenops dorsalis,9612380.990466945,3.326674767494439,145.7907485035325
Anabazenops fuscus,9477130.941224787,3.062436070255371,145.7907485035325
Anairetes alpinus,9696346.47676413,4.145034092102197,144.29254458635876
Anairetes fernandezianus,10067263.895696923,3.312069953030615,144.29155481611926
Anairetes flavirostris,9803996.21681837,4.038497512111094,144.29237011602115
Anairetes nigrocristatus,9678494.199397286,3.3844235801276756,144.2926093262917
Anairetes parulus,9909889.5412116535,4.988171825236126,144.29155481611926
Anairetes reguloides,9721582.156222507,4.561594936629572,144.29260932637192
Anaplectes rubriceps,9067459.159240957,3.6031167019054324,128.42953455747653
Anarhynchus frontalis,10672117.783628963,3.8759680669260503,166.64310540903227
Anas acuta,9739499.404465886,6.109594395507316,187.55430546989007
Anas andium,9558657.847452242,3.335932379466717,187.55421160714909
Anas aucklandica,10610750.130695475,5.167187336134089,187.55372477231418
Anas bahamensis,9733675.33709786,3.911578145898428,187.55421160714909
Anas bernieri,9316097.18854213,3.489838383379718,187.5543913601595
Anas capensis,9134740.56434874,4.522177326615106,187.55528393431806
Anas castanea,10531446.32843275,4.909518932286108,187.55485814849575
Anas chlorotis,10748550.332686653,4.324043963362224,187.55372477231418
Anas crecca,9647785.31753509,6.134825603358554,187.5560008133638
Anas eatoni,10053590.338451402,4.862928864055722,187.55374408544122
Anas erythrorhyncha,9002231.231961697,3.5973102161000585,187.55444459367416
Anas flavirostris,9851712.339316001,4.961660250283006,187.5560008133638
Anas fulvigula,9925690.499388656,4.55112588972957,187.55195756291158
Anas georgica,9848325.377018703,4.353998631688669,187.55430546989007
